com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
"C00381384","13TH COLONY LEADERSHIP COMMITTEE INC","http://docquery.fec.gov/cgi-bin/fecimg/?C00381384","","JOHN HEDDENS KINGSTON","$76,101.20","$66,890.90","$79,949.65","2014-12-31"
"C00498709","19TH STAR PAC INC; THE","http://docquery.fec.gov/cgi-bin/fecimg/?C00498709","LUGAR, SEN. RICHARD G.","LUGAR","$9,106.40","$96,822.00","$454.22","2014-08-17"
"C00361956","21ST CENTURY MAJORITY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00361956","","2015 ISAKSON LEADERSHIP COMMITTEE","$970,666.70","$1,011,274.20","$202,704.18","2014-12-31"
"C00315747","21ST CENTURY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00315747","MCKEON, HOWARD","MCKEON","$165,410.50","$173,841.70",,"2014-12-31"
"C00571083","3 POINT LEADERSHIP FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00571083","","","$5,000.00",,"$5,000.00","2014-12-31"
"C00448563","3RD AND LONG PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00448563","","HEATH SHULER FOR CONGRESS",,"$1,500.00","$5,832.19","2014-12-31"
"C00416552","3T PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00416552","","NICK J. RAHALL II","$149,500.00","$126,184.80","$74,679.86","2014-12-31"
"C00543504","4 MA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00543504","","JOSEPH P KENNEDY III","$204,181.80","$164,865.10","$39,316.75","2014-12-31"
"C00457044","A MORE PERFECT UNION","http://docquery.fec.gov/cgi-bin/fecimg/?C00457044","JACKSON, JR., JESSE","JACKSON, JR.",,"$997.10",,"2013-01-11"
"C00458570","A NEW DIRECTION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00458570","SHAHEEN, JEANNE","SHAHEEN","$232,100.00","$221,092.50","$33,920.27","2014-12-31"
"C00471813","ACCOUNTABILITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00471813","","BILL POSEY","$19,500.00","$15,400.50","$11,794.00","2014-12-31"
"C00411579","ACTON PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00411579","WESTMORELAND, LYNN","WESTMORELAND","$176,250.00","$181,509.40","$6,961.50","2014-12-31"
"C00508929","ADIRONDACK JOBS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00508929","","WILLIAM L OWENS","$10,000.00","$27,869.80",,"2014-03-31"
"C00368571","ADVANCE THE MAJORITY POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00368571","MILLER, JEFFERSON B.","","$14,500.00","$33,440.60","$7,236.04","2014-12-31"
"C00387464","ALAMO PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00387464","CORNYN, JOHN","CORNYN","$1,202,061.70","$1,314,736.80","$141,722.09","2014-12-31"
"C00344788","ALL AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00344788","","EVAN BAYH","$80,450.90","$29,420.80","$459,471.60","2014-12-31"
"C00451278","ALL NEW SOLAR, WIND & EFFICIENCY RESOURCES PAC (ANSWER PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00451278","","CONGRESSMAN JOHN HALL",,"$1,263.50",,"2014-06-30"
"C00483628","ALL POWER TO THE PEOPLE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00483628","RUSH, BOBBY","RUSH","$13,500.00","$1,180.00","$12,942.08","2014-12-31"
"C00411967","ALOHA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00411967","ABERCROMBIE, NEIL","ABERCROMBIE","$11,000.00","$8,282.20","$9,290.94","2014-12-31"
"C00427187","AMERICA FIRST POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00427187","","","$16,600.00","$46,816.60","$2,642.00","2014-12-31"
"C00494864","AMERICA FIRST-GREGORY FOR OHIO PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00494864","","",,,,""
"C00403675","AMERICA FORWARD LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00403675","CONYERS, JOHN","CONYERS","$97,391.90","$111,833.40","$150.14","2014-12-31"
"C00511196","AMERICA NOW","http://docquery.fec.gov/cgi-bin/fecimg/?C00511196","CARSON, ANDRE","CARSON","$26,406.00","$24,508.00","$10,408.00","2014-12-31"
"C00567180","AMERICA UNLIMITED","http://docquery.fec.gov/cgi-bin/fecimg/?C00567180","YOHO, THEODORE SCOTT MR.","YOHO","$14,300.00","$10,710.00","$3,590.00","2014-12-31"
"C00331694","AMERICA WORKS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00331694","BROWN, SHERROD","BROWN","$790,075.00","$738,716.10","$69,119.86","2014-12-31"
"C00524314","AMERICA'S FIRST PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00524314","","ROB WITTMAN","$36,250.00","$34,981.10","$5,268.95","2014-12-31"
"C00494757","AMERICA'S FUTURE FUND PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00494757","RENACCI, JAMES","RENACCI","$51,750.00","$48,215.70","$42,038.90","2014-12-31"
"C00492025","AMERICAN DEFENSE AND MILITARY PAC (ADAM PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00492025","","ADAM SMITH","$127,500.00","$126,422.20","$8,919.58","2014-12-31"
"C00524033","AMERICAN FREEDOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00524033","HUELSKAMP, TIMOTHY A REPRESENTA","HUELSKAMP","$20,750.20","$29,525.50","$10,249.97","2014-12-31"
"C00561779","AMERICAN INNOVATION POLITICAL ACTION COMMITTEE (AMI PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00561779","","AMERISH BERA","$15,001.00","$9,019.30","$5,981.69","2014-12-31"
