com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
"C00588335","BUILDING AND RESTORING AMERICA TOGETHER POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00588335","","","$6,973.80","$6,959.30","$14.50","2016-02-29"
"C00590356","BUILDING AND RESTORING THE AMERICAN DREAM FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00590356","WENSTRUP, BRAD","WENSTRUP","$15,000.00","$26.40","$14,973.65","2015-12-31"
"C00505693","BUILDING EFFECTIVE RESPONSIBLE GOVERNMENT PAC (BERG PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00505693","BERG, RICHARD","BERG",,"$5,509.90","$38,742.10","2015-12-31"
"C00489427","BUILDING LEADERSHIP AND INSPIRING NEW ENTERPRISE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00489427","LUETKEMEYER, W BLAINE","LUETKEMEYER","$126,500.00","$82,560.50","$61,232.83","2015-12-31"
"C00510248","BUILDING OUR BASE - BOB PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00510248","","MR ROBERT B GIBBS","$10,000.00","$15,100.50","$9,767.23","2016-02-24"
"C00399196","BUILDING RELATIONSHIPS IN DIVERSE GEOGRAPHIC ENVIRONMENTS PAC (BRIDGE PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00399196","CLYBURN, JAMES E","CLYBURN","$728,417.90","$514,456.60","$491,293.96","2016-02-29"
"C00589994","BUILDING RENEWAL IN AMERICA NOW PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00589994","","BRIAN BABIN","$25,000.00","$13,505.70","$11,494.28","2016-02-29"
"C00573394","BULLDOG VICTORY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00573394","","DAVID YOUNG","$14,799.70","$2,050.70","$12,849.02","2016-02-29"
"C00610840","BWC - BECAUSE WOMEN CAN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00610840","","BONNIE  WATSON COLEMAN",,,,""
"C00573709","CA LUV PAC (CALIFORNIA LEADERSHIP UNITED FOR VICTORY PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00573709","","PETE  AGUILAR","$15,000.00","$12,670.00","$2,330.00","2015-12-31"
"C00347443","CACTUS POLITICAL ACTION COMMITTEE (PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00347443","PASTOR, ED L","","$1.00","$66.00","$28,318.81","2015-12-31"
"C00491985","CAJUN POLITICAL ACTION COMMITTEE (CAJUNPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00491985","","CONGRESSMAN JEFF LANDRY (SPONSOR)",,"$40.00","$1,248.74","2015-12-31"
"C00386300","CALUMET PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00386300","VISCLOSKY, PETER","","$70,500.00","$49,233.20","$74,472.88","2015-12-31"
"C00441501","CAMPAIGN FOR CHANGE","http://docquery.fec.gov/cgi-bin/fecimg/?C00441501","","","$18,914.80","$86,269.00",,"2015-07-29"
"C00506907","CAPAC LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00506907","","JUDY CHU","$77,378.80","$63,286.10","$19,329.65","2016-02-29"
"C00572586","CAPITOL HEEL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00572586","","ALMA S ADAMS","$5,000.00",,"$5,000.00","2015-12-31"
"C00341990","CAROLYN'S PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00341990","","","$71,300.00","$72,871.80","$56,787.71","2015-12-31"
"C00544411","CATALYST PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00544411","RADEL, HENRY","RADEL",,"$4,775.00","$7,917.87","2016-02-29"
"C00540906","CHERPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540906","","CHERI BUSTOS","$44,650.00","$16,735.10","$32,663.62","2016-02-29"
"C00492819","CHESAPEAKE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00492819","HARRIS, ANDREW","HARRIS","$62,100.00","$35,776.20","$39,967.59","2016-02-29"
"C00469411","CHUTZPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00469411","","HOWARD L BERMAN",,,"$3,295.78","2015-12-31"
"C00491654","CITIZENS FOR PROSPERITY IN AMERICA TODAY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00491654","","PATRICK JOSEPH TOOMEY","$543,614.70","$642,163.30","$20,349.95","2016-02-29"
"C00524322","CITIZENS STRENGTHENING OUR MAJORITY IN THE HOUSE (C SMITH PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00524322","","CHRIS SMITH","$3.50","$417.00","$4,490.22","2015-12-31"
"C00564260","CLEAN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00564260","","JARED HUFFMAN","$123,388.70","$72,540.40","$100,914.85","2015-12-31"
"C00605410","CLIMATE CHAMPIONS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00605410","","JEFFREY MERKLEY","$38,004.50","$2,347.40","$35,657.10","2016-02-29"
"C00469429","CMR POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00469429","","THE MCMORRIS RODGERS AMERICAN DREAM PROJECT","$533,767.20","$507,434.30","$33,011.91","2016-02-29"
"C00400457","COME BACK POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00400457","","TIM MURPHY","$15,004.00","$15,020.40","$8,300.27","2016-02-29"
"C00427286","COMMERCE, HOPE, INNOVATION & PROGRESS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00427286","","",,,,"2015-06-30"
"C00485565","COMMITTED TO PROTECTING OUR COUNTRY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00485565","","CHRISTOPHER P CARNEY",,,,""
"C00451609","COMMITTED TO WIN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00451609","HASTINGS FOR CONGRESS, HASTINGS FOR CONGRES","HASTINGS FOR CONGRESS",,"$2,000.00","$3,655.45","2015-12-31"
"C00370122","COMMITTEE FOR A DEMOCRATIC FUTURE","http://docquery.fec.gov/cgi-bin/fecimg/?C00370122","DELAURO, ROSA L","DELAURO","$89,700.00","$90,178.50","$3,940.40","2016-02-29"
"C00323352","COMMITTEE FOR A LIVABLE FUTURE","http://docquery.fec.gov/cgi-bin/fecimg/?C00323352","BLUMENAUER, EARL","BLUMENAUER","$62,363.10","$36,100.90","$55,295.62","2016-02-29"
"C00366666","COMMITTEE FOR LEADERSHIP AND PROGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?C00366666","LOWEY, NITA","","$52,500.00","$38,597.00","$36,654.96","2016-02-29"
"C00196824","COMMITTEE FOR PROGRESSIVE CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?C00196824","OBEY, DAVID","",,,"$19,276.08","2016-02-29"
"C00362236","COMMITTEE FOR SOUTHWEST VIRGINIA","http://docquery.fec.gov/cgi-bin/fecimg/?C00362236","BOUCHER, FREDERICK C","BOUCHER","$10,626.90","$455.80","$268,346.94","2015-12-31"
"C00492165","COMMITTEE TO STRENGTHEN AMERICA; THE","http://docquery.fec.gov/cgi-bin/fecimg/?C00492165","ANDREWS, ROBERT E. MR.","ANDREWS",,"$34,028.70","$49,762.50","2015-12-31"
"C00542746","COMMON GOOD FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00542746","","JAMES MCDERMOTT","$9,500.00","$226.50","$14,428.68","2016-02-29"
"C00491936","COMMON SENSE COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?C00491936","","MICHAEL BENNET","$459,554.20","$353,796.90","$205,008.41","2016-02-29"
"C00345058","COMMON SENSE COMMON SOLUTIONS POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00345058","GRANGER, KAY","GRANGER","$48,000.00","$59,142.00","$25,484.29","2015-12-31"
"C00491142","COMMON SENSE DEMOCRAT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00491142","","STEPHEN F LYNCH",,"$2,000.00","$15,850.00","2015-12-31"
"C00442368","COMMON VALUES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00442368","","BARRASSO VICTORY COMMITTEE","$531,512.20","$321,718.40","$396,576.34","2016-02-29"
"C00498931","COMMONWEALTH PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00498931","","","$12,500.00","$20,973.00","$20,209.95","2015-12-31"
"C00540989","COMMUNITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540989","","HENRY C "HANK" JOHNSON JR",,,"$50.00","2015-12-31"
"C00481176","CONCERNED AMERICANS FOR FREEDOM & OPPORTUNITY PAC (CAFO PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00481176","SMITH, ADRIAN","SMITH","$60,500.00","$74,822.30","$749.72","2016-02-29"
"C00554535","CONGRESSIONAL HOUSE REPUBLICANS IN SERVICE PAC (CHRIS PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00554535","","COLLINS VICTORY FUND","$15,625.00","$13,375.00","$5,386.25","2015-12-31"
"C00117721","CONGRESSIONAL MAJORITY COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00117721","","",,,,""
"C00427401","CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00427401","CARTER, JOHN R.","CARTER","$17,500.00","$3,018.50","$18,009.07","2015-12-31"
